id,選手名,年,所属,試合数,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
26,土田瑞起,2015,読売,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
26,土田瑞起,2016,読売,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
27,田口麗斗,2015,読売,13,19,16,0,2,0,0,0,2,2,0,0,3,0,0,0,8,1,0.125,0.125,0.125
27,田口麗斗,2016,読売,15,27,24,1,1,0,0,0,1,0,0,0,3,0,0,0,7,1,0.042,0.042,0.042
29,平良拳太郎,2016,読売,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
31,メンドーサ,2015,読売,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
31,メンドーサ,2016,読売,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
32,ウーゴ,2012,東京ヤクルト,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
32,ウーゴ,2015,東京ヤクルト,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
33,長谷川潤,2016,読売,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.000,0.000
34,阿南徹,2010,オリックス,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
34,阿南徹,2011,オリックス,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
34,阿南徹,2013,読売,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000
34,阿南徹,2014,読売,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
35,阿部慎之助,2001,読売,127,428,386,40,87,18,0,13,144,44,3,0,2,2,31,7,79,9,0.225,0.373,0.293
35,阿部慎之助,2002,読売,127,511,446,62,133,26,0,18,213,73,4,1,4,3,46,12,81,10,0.298,0.478,0.377
35,阿部慎之助,2003,読売,94,371,314,46,95,15,1,15,157,51,1,1,3,4,40,9,52,7,0.303,0.500,0.392
35,阿部慎之助,2004,読売,108,436,379,61,114,22,1,33,237,78,0,0,1,0,43,13,87,6,0.301,0.625,0.391
35,阿部慎之助,2005,読売,130,534,476,56,143,16,0,26,237,86,0,2,0,6,51,1,78,15,0.300,0.498,0.365
35,阿部慎之助,2006,読売,129,497,452,39,133,26,2,10,193,56,0,2,4,2,35,4,76,8,0.294,0.427,0.349
35,阿部慎之助,2007,読売,140,580,499,72,137,20,0,33,256,101,1,2,3,10,57,11,76,17,0.275,0.513,0.355
35,阿部慎之助,2008,読売,125,484,428,60,116,27,0,24,215,67,1,1,4,0,44,8,66,17,0.271,0.502,0.350
35,阿部慎之助,2009,読売,123,462,409,63,120,20,2,32,240,76,1,1,2,7,34,10,87,9,0.293,0.587,0.357
35,阿部慎之助,2010,読売,140,569,498,85,140,27,2,44,303,92,0,0,1,1,58,11,91,8,0.281,0.608,0.368
35,阿部慎之助,2011,読売,114,437,390,45,114,21,0,20,195,61,1,1,2,1,35,9,66,12,0.292,0.500,0.363
35,阿部慎之助,2012,読売,138,556,467,72,159,22,1,27,264,104,0,0,2,8,69,9,47,11,0.340,0.565,0.429
35,阿部慎之助,2013,読売,135,529,422,81,125,17,0,32,238,91,0,0,0,6,86,15,59,8,0.296,0.564,0.427
35,阿部慎之助,2014,読売,131,526,459,49,114,24,0,19,195,57,1,3,0,2,58,7,77,16,0.248,0.425,0.340
35,阿部慎之助,2015,読売,111,419,343,44,83,14,0,15,142,47,0,0,0,4,64,8,84,9,0.242,0.414,0.370
35,阿部慎之助,2016,読売,34,139,124,14,35,4,0,5,54,19,0,0,1,0,11,3,23,4,0.282,0.435,0.355
36,小林誠司,2014,読売,63,121,110,18,28,7,0,2,41,14,0,0,3,0,4,4,26,4,0.255,0.373,0.305
36,小林誠司,2015,読売,70,204,177,13,40,6,0,2,52,13,2,0,5,0,19,3,39,6,0.226,0.294,0.312
36,小林誠司,2016,読売,70,247,216,13,45,7,0,1,55,20,0,1,11,1,17,2,41,5,0.208,0.255,0.271
37,相川亮二,1999,横浜,8,8,8,1,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0.250,0.250,0.250
37,相川亮二,2000,横浜,39,82,73,6,16,2,0,0,18,7,0,0,3,1,3,2,11,2,0.219,0.247,0.266
37,相川亮二,2001,横浜,59,70,64,7,15,2,0,2,23,12,0,0,2,3,1,0,12,1,0.234,0.359,0.235
37,相川亮二,2002,横浜,73,184,174,16,39,6,0,1,48,12,0,1,1,1,6,2,34,5,0.224,0.276,0.257
37,相川亮二,2003,横浜,70,182,165,16,41,8,1,5,66,14,1,1,5,1,10,1,50,1,0.248,0.400,0.294
37,相川亮二,2004,横浜,102,323,304,31,80,16,1,8,122,46,3,0,5,1,13,0,77,8,0.263,0.401,0.292
37,相川亮二,2005,横浜,144,559,498,38,129,20,0,8,173,46,0,2,9,7,39,6,90,13,0.259,0.347,0.316
37,相川亮二,2006,横浜,119,438,388,36,95,19,0,6,132,39,2,1,9,7,29,5,83,11,0.245,0.340,0.301
37,相川亮二,2007,横浜,123,450,391,37,118,12,1,2,138,33,0,1,16,1,40,2,51,6,0.302,0.353,0.369
37,相川亮二,2008,横浜,101,339,306,27,78,5,1,7,106,22,0,1,11,1,19,2,52,7,0.255,0.346,0.302
37,相川亮二,2009,東京ヤクルト,122,446,413,26,102,21,1,5,140,43,2,2,6,3,23,1,69,14,0.247,0.339,0.286
37,相川亮二,2010,東京ヤクルト,120,474,427,44,125,17,2,11,179,65,2,0,6,7,30,4,70,8,0.293,0.419,0.340
37,相川亮二,2011,東京ヤクルト,126,458,409,24,100,14,1,1,119,33,0,0,11,4,30,4,62,13,0.244,0.291,0.300
37,相川亮二,2012,東京ヤクルト,72,244,220,19,54,8,0,1,65,28,0,0,1,2,20,1,33,7,0.245,0.295,0.309
37,相川亮二,2013,東京ヤクルト,66,239,219,23,61,13,0,6,92,30,1,1,4,2,14,0,42,2,0.279,0.420,0.319
37,相川亮二,2014,東京ヤクルト,58,207,192,19,48,8,0,2,62,21,0,0,2,2,9,2,31,5,0.250,0.323,0.288
37,相川亮二,2015,読売,40,114,99,11,31,3,2,4,50,17,1,0,2,1,12,0,16,1,0.313,0.505,0.384
37,相川亮二,2016,読売,27,38,33,1,8,2,0,0,10,3,0,0,0,0,5,0,7,0,0.242,0.303,0.342
38,實松一成,2000,日本ハム,10,9,8,0,1,0,0,0,1,1,0,0,0,1,0,0,4,0,0.125,0.125,0.111
38,實松一成,2001,日本ハム,62,167,149,16,29,4,0,6,51,19,0,0,8,1,6,3,53,4,0.195,0.342,0.239
38,實松一成,2002,日本ハム,82,200,170,8,22,5,0,1,30,2,0,2,15,0,14,1,64,1,0.129,0.176,0.200
38,實松一成,2003,日本ハム,44,102,92,6,9,2,0,3,20,8,0,1,3,0,3,4,51,3,0.098,0.217,0.162
38,實松一成,2004,北海道日本ハム,36,25,20,6,3,1,0,1,7,2,0,1,1,0,3,1,11,0,0.150,0.350,0.292
38,實松一成,2005,北海道日本ハム,64,119,108,12,19,4,0,2,29,4,2,0,2,0,8,1,41,1,0.176,0.269,0.239
38,實松一成,2006,読売,11,15,14,0,1,1,0,0,2,3,0,0,1,0,0,0,6,1,0.071,0.143,0.071
38,實松一成,2007,読売,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000
38,實松一成,2008,読売,7,6,5,0,1,0,0,0,1,0,0,0,1,0,0,0,3,0,0.200,0.200,0.200
38,實松一成,2010,読売,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.000,0.000,0.000
38,實松一成,2011,読売,20,24,22,3,6,0,0,2,12,3,0,0,2,0,0,0,10,0,0.273,0.545,0.273
38,實松一成,2012,読売,58,92,74,6,14,3,0,2,23,5,0,0,6,0,9,3,26,0,0.189,0.311,0.302
38,實松一成,2013,読売,41,73,65,6,16,5,0,1,24,6,0,0,1,0,6,1,20,1,0.246,0.369,0.319
38,實松一成,2014,読売,14,27,22,1,3,0,0,0,3,1,1,0,2,0,3,0,8,2,0.136,0.136,0.240
38,實松一成,2015,読売,22,39,33,5,6,0,0,1,9,3,1,0,2,0,2,2,9,0,0.182,0.273,0.270
38,實松一成,2016,読売,13,31,26,3,7,1,0,1,11,1,0,0,1,0,4,0,7,0,0.269,0.423,0.367
39,加藤健,2000,読売,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.000,0.000,0.000
39,加藤健,2002,読売,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
39,加藤健,2006,読売,19,40,34,2,10,0,0,0,10,3,0,0,2,1,2,1,9,1,0.294,0.294,0.342
39,加藤健,2007,読売,28,25,21,2,4,0,0,1,7,7,0,0,0,2,2,0,4,3,0.190,0.333,0.240
39,加藤健,2008,読売,28,38,36,2,7,1,0,1,11,3,0,0,1,0,1,0,9,1,0.194,0.306,0.216
39,加藤健,2009,読売,12,13,10,2,2,1,0,0,3,0,0,0,0,0,1,2,3,0,0.200,0.300,0.385
39,加藤健,2010,読売,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000
39,加藤健,2011,読売,21,39,33,1,5,1,0,1,9,5,0,0,1,0,5,0,10,3,0.152,0.273,0.263
39,加藤健,2012,読売,13,20,19,1,3,0,0,0,3,0,0,0,0,0,1,0,1,0,0.158,0.158,0.200
39,加藤健,2013,読売,12,31,28,2,6,1,0,0,7,2,0,0,0,0,2,1,4,2,0.214,0.250,0.290
